Word	TF
to	0.077
query	0.019
terms	0.096
way	0.038
purpose	0.019
considered	0.019
solve	0.019
document	0.019
search	0.019
relevance	0.019
occurring	0.038
power	0.019
relevant	0.038
find	0.019
too	0.038
frequently	0.058
ffects	0.019
documents	0.019
logarithms	0.019
problem	0.019
us	0.019
effects	0.019
helps	0.019
up	0.019
main	0.019
that	0.038
weigh	0.038
matching	0.019
fact	0.019
determining	0.019
equally	0.019
this	0.019
step	0.019
occur	0.038
we	0.038
