Word	TF
to	0.039
total	0.039
simple	0.02
terms	0.059
higher	0.02
frequency	0.078
smaller	0.02
occurs	0.02
normalize	0.02
document	0.098
times	0.02
trick	0.02
normalized	0.039
documents	0.02
divide	0.02
number	0.039
game	0.02
reality	0.02
size	0.039
2	0.039
two	0.02
10	0.039
1	0.02
0	0.02
term	0.078
than	0.02
will	0.039
example	0.02
large	0.02
based	0.02
we	0.02
